iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,2.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,2.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,4.29
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,3.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201801,12.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201712,6.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201711,1.38
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201710,1.0
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201709,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201708,2.5
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201707,2.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201706,3.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201705,3.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201704,3.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201703,3.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201702,7.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201701,12.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201612,4.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201611,2.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201610,2.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201609,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201608,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201607,3.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201606,2.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201605,3.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201604,2.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201603,3.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201602,2.42
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201601,5.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201512,5.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201511,4.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201510,3.42
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201509,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201508,2.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201507,2.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201506,2.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201505,2.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201504,3.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201503,10.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201502,10.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201501,11.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201412,14.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201411,3.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201410,3.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201409,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201408,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201407,4.27
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201406,5.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201405,4.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201404,6.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201403,14.75
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201402,27.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201401,21.76
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201312,13.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201311,3.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201310,3.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201309,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201308,3.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201307,4.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201306,5.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201305,4.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201304,4.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201303,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201302,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201301,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201212,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201211,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201210,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201209,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201208,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201207,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201206,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201205,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201204,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201203,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201202,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201201,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201112,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201111,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201110,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201109,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201108,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201107,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201106,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201105,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201104,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201103,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201102,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201101,
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202012,3.81
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202011,3.33
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202010,1.54
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202009,1.52
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202008,1.68
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202007,1.51
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202006,1.37
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202005,1.65
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202004,1.5
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202003,2.13
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202002,3.2
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202001,7.28
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201912,6.16
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201911,3.56
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201910,2.09
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201909,1.98
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201908,2.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201907,2.21
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201906,2.43
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201905,2.49
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201904,3.28
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201903,5.11
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201902,7.7
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201901,10.05
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201812,11.62
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201811,4.4
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201810,3.5
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201809,2.98
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201808,2.89
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201807,2.88
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201806,2.63
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201805,2.75
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201804,4.29
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201803,3.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201801,12.47
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201712,6.53
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201711,1.38
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201710,1.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201708,2.5
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201707,2.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201706,3.14
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201705,3.39
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201704,3.35
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201703,3.32
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201702,7.73
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201701,12.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201612,4.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201611,2.55
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201610,2.24
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201607,3.88
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201606,2.8
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201605,3.22
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201604,2.58
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201603,3.05
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201602,2.42
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201601,5.09
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201512,5.15
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201511,4.76
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201510,3.42
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201508,2.08
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201507,2.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201506,2.44
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201505,2.37
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201504,3.35
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201503,10.08
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201502,10.53
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201501,11.89
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201412,14.3
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201411,3.47
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201410,3.47
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201407,4.27
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201406,5.19
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201405,4.79
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201404,6.37
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201403,14.75
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201402,27.07
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201401,21.76
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201312,13.62
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201311,3.71
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201310,3.71
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201308,3.85
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201307,4.25
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201306,5.71
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201305,4.74
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201304,4.74
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201610,10.19
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201512,9.17
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201511,10.19
